Freq. centroide;Centroïde;Cluster;Annotation CENTROIDES;ANNOTATION
1;Pierres;;FP;
;Pierres;Pierres;;FP
;Pierres;canaldeBerry;;VP
;Pierres;laSaint-Pierre;;FP
3;Paris;;VP;
;Paris;Grise;;FP
;Paris;Issoudun;;VP
;Paris;Paris;;VP
3;Périnnerie;;VP;
;Périnnerie;Bordinerie;;VP
;Périnnerie;FIN;;FP
;Périnnerie;PetiteJeanne;;FP
;Périnnerie;Périnnerie;;VP
;Périnnerie;Tréchauderie;;VP
25;Grand-Bail;;AMBIG;
;Grand-Bail;Bail;;AMBIG
;Grand-Bail;Grand-Bail;;AMBIG
;Grand-Bail;GrandBail;;AMBIG
;Grand-Bail;LeGrand-Bail;;AMBIG
;Grand-Bail;leGrand-Bail;;AMBIG
1;Viens;;FP;
;Viens;Allons;;FP
;Viens;Combien;;FP
;Viens;Tiens;;FP
;Viens;Viens;;FP
5;Sainte-Solange;;VP;
;Sainte-Solange;Saint-Jean;;FP
;Sainte-Solange;Sainte-Solange;;VP
;Sainte-Solange;sainte-Solange;;VP
2;Ormeaux;;VP;
;Ormeaux;Normandie;;VP
;Ormeaux;Ormeaux;;VP
;Ormeaux;fermedesOrmeaux;;VP
1;Meunet;;VP;
;Meunet;Meunet;;VP
;Meunet;Meunet-sur-Vatan;;VP
;Meunet;Nannette;;FP
1;laFrance;;VP;
;laFrance;Afrique;;VP
;laFrance;deFrance;;VP
;laFrance;laFrance;;VP
1;quartierdesHautes-Roches;;VP;
;quartierdesHautes-Roches;Bourges;;VP
;quartierdesHautes-Roches;Est;;AMBIG
;quartierdesHautes-Roches;Folles;;FP
;quartierdesHautes-Roches;Hautes-Roches;;VP
;quartierdesHautes-Roches;Payez-les-moi;;FP
;quartierdesHautes-Roches;quartierdesHautes-Roches;;VP
1;Cher;;VP;
;Cher;Blanche;;FP
;Cher;Cher;;VP
;Cher;Chétif;;AMBIG
;Cher;départementduCher;;VP
